Dream  ,Ṇánạ
 Dreamer , Ènạṇáci
 Dreary ,Nampata 
Dregs,  Cèki 
Drenched  ,Tsàbànyǐ 
Dress,  Èdě 
Dress  ,Dzu èdě  
Dress down (scold)  ,Dzàṇya 
Dressing , Děkùn Èděkùn 
Dressmaker,  Jangún
 Dribble (saliva),  Tò micíṇní 
Drift , Fia
 Drill (bore hole) , Tsúfo 
Drink,  Fíṇ 
Drink , Nyạfíṇci 
Drink (a sour type),  Kúdó 
Drinking , Nyạfíṇ 
Drip,  Tò 
Drip,  Tògi Etògi 
Drive (vehicle)  ,Pá 
Drive (animals),  Kàṇ 
Drive away,  Ṇyáya 
Drivel , Vunna 
Drive off , Sanya 
Driving,  Pipá 
Drizzle , Kpà 
Drizzle  ,Kpàngi Elekpàngi –
Drome, Cibidà-
 Dromedary , Cibidàkuṇ 
Drone (bee) , Dànkǒ  
Drought,  Èdǎ 
Droop , Rǐkpe 
Drop , Cíṇ 
Drop , Ècíṇ 
Drop (fluid)  ,Tò 
Drop (fluid),  Etò 
Drop off  ,Cíṇya 
Drop out  ,Wa ya 
Dropout  ,Wayagi
 Drought , Èdǎ 
Drown , Gbin 
Drudge  ,Wunci 
Drug  ,Èrwà 
Drum  Eṇyà 
Drum (pot drum)  ,Dùṃà 
Drum , Nìṇyà 
Drum (a type carried under the arm) , Kàṇàṇgǔ 
Drummer , Èdzạn
 Drumstick , Kòngǒ 
Drunk  ,Pege
 Drunk , Pegegi 
Drunkard , Egepeci 
Dry , Wo 
Dry , Túyi Túyigídí 
Dry season  ,Yikéré 
Duck , Gbàngbǎ 
Duck (wild one)  ,Kạkạ
 Dugout,  Eya cigbàṇ 
Duiker,  Kungiá
 Dull (numb),  Tsùn Tsùnmi 
Dull (boring)  ,Dannyi 
Dum palm , Gòrǐba 
Dumb person  ,Edigi Edi 
Dumbfounded,  Wạṇgi
 Dump,  Zhèya 
Dunce,  Didini 
Dung  ,Bití Ebi tí 
Dung beetle , Pibimpibi 
Dunghill , Bitíta
 Dunk,  Gi 
Dupe,  Lovo
 Dupe  ,Lovogi 
Duping  ,Volo 
Duplicate , Sạngúbà 
Duplication  ,Gúbàsạn 
Duplicitous , Bagúbà 
Duplicity  ,Gúbàba 
Durable  ,Geréwú 
Dusk  ,Fùnkpě
 Dusky (dark)  ,Tílà 
Dust , Rǔngbǎ 
Dust , Píṇya Píṇ rǔngbǎ ya 
Dustbin , Vonkpárá 
Dustpan , Kàshíkó nyạsáṇ 
Dusty , Jiṇ rǔngbǎ 
Duty (tax) , Fito 
Dwarf , Gǔṇniạ 
Dwarfed   ,Tiàgǔṇniạ
 Dwelling , Emìlébà
 Dwindle  ,Yìké 
Dye , Ècìṇ 
Dye  ,Dạncìṇ 
Dye pit  ,Shìṇbò 
Dye pot  ,Mạncìṇ 
Dyer  ,Ecìṇdạnci 
Dyke  ,Gúbàṇ 
Dynamite , Ègba 
Dynast  ,Dwalegi 
Dynasty , Dwale
 Dysentery,  Átuṇ 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
  
